Id,name,followers,popularity,genres,chart_hits,top_chart
0YUrJpMVgqTxD8UnfPRKEh,Fulo El Yeyo,17689.0,36,['panamanian pop'],['pa (1)'],pa
5rI6C5mJm6GYXbGHhpHTu9,Attaque 77,479470.0,57,"['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",['ar (1)'],ar
6SsTlCsuCYleNza6xGwynu,Agnes,118389.0,56,"['dance pop', 'electropop', 'europop', 'swedish electropop', 'swedish idol pop', 'swedish pop']",['se (7)'],se
6SIzX2yHlfa3V0xDHLmrbe,ConfidentialMX,2122.0,26,[],"['bg (1)', 'my (1)', 'pt (1)', 'sk (1)']",bg
5a8n5eVrmneQvM5cRCqjfw,Ronnie Hussein,13568.0,28,['malaysian pop'],['my (1)'],my
6nEgkeR03q2qtKZmrVq100,El Villano,294637.0,45,['cumbia pop'],"['ar (5)', 'es (1)', 'uy (5)']",ar
5UOOgRWguRmVZo1voJuQpf,Orgânico,196759.0,54,['pop rap brasileiro'],['br (1)'],br
7cEaNXXTHx3LokbjUUyHal,BIG Naughty,175577.0,59,[],['kr (7)'],kr
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,43188.0,54,['trot'],['kr (17)'],kr
15UyjlO0ZuDaSjXUGytDbI,U Sung Eun,17395.0,36,['korean pop'],['tw (1)'],tw
1qGohIp3a4kh1Euymx0pyL,Ocean Park Standoff,27933.0,48,"['la pop', 'pop rock']",['no (1)'],no
1WgXqy2Dd70QQOU7Ay074N,AURORA,2426951.0,73,"['art pop', 'norwegian pop']","['us (1)', 'gb (2)', 'ar (1)', 'au (1)', 'at (3)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (2)', 'fi (1)', 'fr (1)', 'de (3)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (2)', 'il (1)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (1)', 'my (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (19)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'za (1)', 'kr (1)', 'es (2)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'tr (1)', 'ua (2)', 'ae (1)', 'uy (1)', 'vn (2)']",no
7AuBGlcUaHok37yr6u963C,Ehab Tawfik,352880.0,42,"['arab pop', 'classic arab pop', 'egyptian pop']",['eg (1)'],eg
5Y1GOHdRGUuisf1Z2fCOUL,Spoky1911,21.0,0,[],['is (1)'],is
7h1amg0X7Q5d0D5KfuyKTg,Pyrex,29130.0,57,"['italian hip hop', 'trap italiana']",['it (3)'],it
08XpoQUQ8CrwDVMo1BOEpj,Hala Al Turk,41244.0,28,"['arab pop', 'khaliji']",['sa (2)'],sa
584RKJOLzbEflvpk6qFPS1,MC Ysa,21592.0,32,['brega funk'],['br (1)'],br
0TW5M8RYADmgeCP1q523hf,Kjartan Lauritzen,22029.0,42,"['norwegian indie', 'norwegian pop', 'norwegian pop rap']",['no (4)'],no
3wYcmejLVtOoHIq9szUugh,Kaho Hung,24853.0,53,"['cantopop', 'hk-pop']",['hk (11)'],hk
5tf7Xldyt8YlDmudOZU0oh,Gimpson,3610.0,0,[],['pl (2)'],pl
5RdLYZ9xsG0EEVyn5Eetnh,Pimeys,3370.0,16,"['finnish indie', 'suomi rock']",['fi (4)'],fi
4NGKV5T9KOY3eGtJ42fax0,Fynn Jamal,17459.0,32,['malaysian indie'],['my (2)'],my
1Pu2OFhNGOTakxDgxoIXiv,Diego Boneta,90846.0,51,['latin arena pop'],['mx (3)'],mx
7hwN21Cb3TydnAl2o3iOsE,starclouds,403.0,0,['slowed and reverb'],['sa (1)'],sa
5qRaZYOswQo7YMPgvdfU2f,25 hours,275793.0,49,"['thai pop', 'thai rock']",['th (5)'],th
2RxCv6j8Wu2rYbmtOBvg6F,Abdul Majeed Abdullah,860938.0,45,"['classic arab pop', 'khaliji']",['sa (4)'],sa
2Wihg8pti3bPnQ4ByrU309,Moreno,40619.0,28,[],['it (3)'],it
0cbL6CYnRqpAxf1evwUVQD,Die Ärzte,871401.0,65,"['german alternative rock', 'german pop', 'german punk', 'german rock']","['at (1)', 'de (11)']",de
